
# x sin_integral
-2.76460153515904 -1.82762285767021
-2.63893782901544 -1.80780813349816
-2.51327412287185 -1.78166121845249
-2.38761041672826 -1.74896593474194
-2.26194671058467 -1.70955761320987
-2.13628300444108 -1.66332581099992
-2.01061929829748 -1.61021647360036
-1.88495559215389 -1.55023351057030
-1.75929188601030 -1.48343976107365
-1.63362817986671 -1.40995733250643
-1.50796447372312 -1.32996730291201
-1.38230076757953 -1.24370878544233
-1.25663706143593 -1.15147736074636
-1.13097335529234 -1.05362289075383
-1.00530964914875 -0.950546734775158
-0.879645943005160 -0.842698396063277
-0.753982236861568 -0.730571633887491
-0.628318530717976 -0.614700082664559
-0.502654824574384 -0.495652425695406
-0.376991118430793 -0.374027176489565
-0.251327412287201 -0.250447125454113
-0.125663706143609 -0.125553513817637
-1.75415237890775e-14 -1.75415237890775e-14
0.125663706143574 0.125553513817602
0.251327412287166 0.250447125454078
0.376991118430758 0.374027176489531
0.502654824574349 0.495652425695372
0.628318530717941 0.614700082664526
0.753982236861533 0.730571633887460
0.879645943005124 0.842698396063247
1.00530964914872 0.950546734775128
1.13097335529231 1.05362289075380
1.25663706143590 1.15147736074633
1.38230076757949 1.24370878544231
1.50796447372308 1.32996730291199
1.63362817986667 1.40995733250641
1.75929188601027 1.48343976107363
1.88495559215386 1.55023351057029
2.01061929829745 1.61021647360034
2.13628300444104 1.66332581099991
2.26194671058463 1.70955761320986
2.38761041672823 1.74896593474193
2.51327412287182 1.78166121845249
2.63893782901541 1.80780813349816
2.76460153515900 1.82762285767021
2.89026524130259 1.84136984120401
3.01592894744618 1.84935809505819
3.14159265358978 1.85193705198247
3.26725635973337 1.84949205337939
3.39292006587696 1.84243951895802
3.51858377202055 1.83122185942989
3.64424747816414 1.81630219497348
3.76991118430774 1.79815894386620
3.89557489045133 1.77728034653733
4.02123859659492 1.75415899032613
4.14690230273851 1.72928639944296
4.27256600888210 1.70314775304352
4.39822971502570 1.67621679196479
4.52389342116929 1.64895097157245
4.64955712731288 1.62178691437936
4.77522083345647 1.59513621166884
4.90088453960006 1.56938161835687
5.02654824574365 1.54487367982461
5.15221195188725 1.52192782352217
5.27787565803084 1.50082194186779
5.40353936417443 1.48179448642813
5.52920307031802 1.46504308665233
5.65486677646161 1.45072369963537
5.78053048260521 1.43895029059266
5.90619418874880 1.42979503702787
6.03185789489239 1.42328904305545
6.15752160103598 1.41942354408167
6.28318530717957 1.41815157613263
6.40884901332317 1.41939007861791
6.53451271946676 1.42302239430204
6.66017642561035 1.42890112578333
6.78584013175394 1.43685130390316
6.91150383789753 1.44667382027211
7.03716754404113 1.45814907353871
7.16283125018472 1.47104077716543
7.28849495632831 1.48509987533332
7.41415866247190 1.50006851317489
7.53982236861549 1.51568400783286
7.66548607475908 1.53168276784519
7.79114978090268 1.54780411004309
7.91681348704627 1.56379392548519
8.04247719318986 1.57940814889884
8.16814089933345 1.59441598961003
8.29380460547704 1.60860288596122
8.41946831162063 1.62177314968088
8.54513201776422 1.63375227151239
8.67079572390782 1.64438886456232
8.79645943005141 1.65355622721435
8.92212313619500 1.66115351299898
9.04778684233859 1.66710650043165
9.17345054848218 1.67136796145647
9.29911425462577 1.67391763268037
9.42477796076936 1.67476179897996
9.55044166691295 1.67393250423693
9.67610537305654 1.67148640884052
9.80176907920013 1.66750331812377
9.92743278534373 1.66208441001620
10.0530964914873 1.65535019384888
10.1787601976309 1.64743823539417
10.3044239037745 1.63850068582515
10.4300876099181 1.62870165431191
10.5557513160617 1.61821446541175
10.6814150222053 1.60721884324830
10.8070787283489 1.59589806470651
10.9327424344925 1.58443612350346
11.0584061406360 1.57301494604153
11.1840698467796 1.56181169843464
11.3097335529232 1.55099622204814
11.4353972590668 1.54072863234702
11.5610609652104 1.53115711284751
11.6867246713540 1.52241593256441
11.8123883774976 1.51462371159425
11.9380520836412 1.50788195543132
12.0637157897848 1.50227387434266
12.1893794959284 1.49786349969179
12.3150432020720 1.49469510456768
12.4407069082155 1.49279293150930
12.5663706143591 1.49216122558446

